Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5727,118.38,85,37,47,44,33.32,66.01,19.05,0.31,169
5728,122.65,85,37,47,44,33.29,58.34,31.02,0.43,169
5729,133.26,85,37,47,44,32.88,75.57,24.82,0.55,169
5730,103.41,85,37,47,44,33.23,49.19,20.99,0.51,169
5731,129.21,84,36,47,44,33.11,71.49,24.61,0.6,167
5732,118.55,84,36,47,44,33.12,61.12,24.31,0.42,167
5733,129.28,85,36,47,44,33.18,73.8,22.3,0.35,168
5734,120.69,85,36,46,44,32.96,61.62,26.11,0.3,167
5735,119.21,85,36,47,44,33.07,66.01,20.12,0.25,168
5736,119.72,85,36,47,44,33.13,62.72,23.87,0.48,168
5737,117.54,85,36,47,44,33.17,60.43,23.94,0.55,168
5738,130.21,86,36,46,44,33.11,65.27,31.83,0.52,168
5739,145.45,85,36,46,44,33.21,53.88,58.36,0.3,167
5740,133.6,85,36,46,44,33.21,60.83,39.56,0.25,167
5741,112.64,85,37,47,45,33.07,59.3,20.27,0.46,169
5742,143.84,85,36,46,45,33.07,55.13,55.63,0.27,167
5743,117.44,85,37,46,44,33.21,63.89,20.35,0.29,168
5744,116.11,85,37,46,45,33.2,61.62,21.3,0.14,168
5745,114.86,85,37,47,44,33.17,58.97,22.73,0.7,169
5746,106.12,85,37,47,44,33.25,51.31,21.56,0.28,169
5747,131.26,85,37,47,44,33.31,71.87,26.08,0.3,169
5748,128.24,85,37,47,44,33.42,65.33,29.5,0.37,169
5749,157.11,86,37,47,44,33.16,56.56,67.38,0.33,170
5750,120.34,86,37,47,44,33.11,66.31,20.91,0.23,170
5751,113.05,86,36,47,44,33.1,60.43,19.52,0.41,169
5752,124.44,86,36,47,44,33.11,59.57,31.76,0.55,169
5753,152.12,86,36,47,44,33.18,59.14,59.8,0.23,169
5754,147.09,86,36,47,44,32.33,64.86,49.9,0.18,169
5755,169.45,85,36,47,44,33.23,70.32,65.9,0.29,168
5756,118.7,85,37,46,44,32.38,61.24,25.07,0.3,168
5757,116.87,85,37,46,44,32.38,63.74,20.75,0.46,168
5758,129.97,85,37,46,44,32.24,77.68,20.05,0.31,168
5759,118.41,86,37,46,44,32.32,65.31,20.78,0.39,169
5760,112.37,85,37,46,43,32.31,58.95,21.12,0.2,168
5761,103.9,85,37,47,43,32.29,51.98,19.62,0.44,169
5762,129.33,86,37,47,43,32.3,78.01,19.01,0.53,170
5763,118.74,86,37,47,43,32.32,59.7,26.72,0.16,170
5764,120.37,85,36,46,43,33.14,64.31,22.92,0.37,167
5765,118.75,86,37,47,43,33.1,62.12,23.53,0.36,170
5766,114.24,86,36,47,43,32.23,62.6,19.42,0.38,169
5767,114.08,86,36,47,44,32.25,61.25,20.58,0.17,169
5768,160.58,86,37,47,43,32.17,58.55,69.86,0.51,170
5769,114.06,86,37,47,43,32.1,60.68,21.28,0.21,170
5770,116.82,86,37,47,43,32.3,62.81,21.71,0.39,170
5771,113.24,86,37,47,43,32.09,57.06,24.09,0.37,170
5772,117.51,86,37,47,43,32.26,62.47,22.77,0.24,170
5773,122.5,86,37,47,43,32.08,63.17,27.25,0.38,170
5774,122.87,85,37,47,43,32.16,67.7,23.01,0.36,169
5775,126.09,84,37,47,43,33,71.03,22.06,0.16,168
5776,137.65,85,37,46,44,32.84,52.98,51.83,0.41,168
5777,126.58,85,37,46,44,32.89,66,27.69,0.09,168
5778,121.4,85,37,47,44,32.99,66.19,22.22,0.34,169
5779,135.9,85,37,47,43,31.99,68.39,35.51,0.26,169
5780,119.61,84,37,47,43,32.17,65.81,21.63,0.21,168
5781,122.56,84,37,47,43,32.91,61,28.65,0.14,168
5782,125.25,84,37,47,44,32.13,72.99,20.13,0.31,168
5783,128.24,84,37,46,43,32.17,77,19.07,0.22,167
5784,122.65,84,37,47,43,32.15,70.48,20.02,0.24,168
5785,119.4,84,36,47,43,32.18,67.13,20.08,0.43,167
